gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18,,
bglG,66.45,59.5676,50.7288,39.9174,38.6601,63414,93.9354,118394,83.4665,837,68.2815
bglH,75391,75.0906,52.4057,41.2212,46.1134,74141,89.3674,119016,78.9713,1617,72.4131
bglJ,87.7314,80.5103,105083,47.8002,61.4737,64.8408,81.9664,92.1704,110415,678,81.3323
bglX,87.7394,87.4709,108983,75.7488,69564,67.0323,59674,67.8844,71.9745,2298,77.3412
bhsA,27.5709,33041,38354,48.5623,27.2654,38.9092,41.9104,35.9454,35.6153,258,36.3527
bioA,45.5871,50.4778,42.5381,27.0654,29.8556,44.0077,34.2431,47.6099,35.5105,1290,39655
bioB,64.0901,53.6747,72.9339,53.9196,45.4436,51.3196,44.5273,52685,56.2062,1041,54.9778
bioC,32.2019,38.6602,22.1324,18.1197,30706,26.2518,35.5906,33.6736,31101,756,29.8264
bioD,50649,45.8549,26.5362,24.8857,24.6414,35.5688,38.2015,47.9648,37.0707,678,36.8192
bioF,37.9609,36.5308,24.7675,27.3362,24.8186,29371,27.9403,39.1897,41884,1155,32.1999
bioH,85.5797,71.2635,70.2392,59.3682,66.1477,62.4072,95.2361,107579,115149,771,81441
birA,44.3089,31.6648,31.2896,30.2635,38.0487,43.3593,36.01,53.0879,42525,966,38.9509
bisC,122827,127986,95816,112.3,108124,117957,121242,153647,152208,2334,123567
blc,85.8961,80.8914,79.5131,447981,467976,257134,187.42,117888,161699,534,209.6
blr,82.7354,97.7876,54.2601,59.6623,61412,54.0299,64.5287,41.6756,56.8398,126,63.6591
bluF,39.3632,42.9693,35.1814,33.0801,48.0282,48.1727,34.8562,34.2048,37.2384,1212,39.2327
bluR,114433,104125,122893,146058,139584,93.6329,78.3244,55.2918,66.2721,732,102291
bolA,77.3268,83.3491,135785,437598,478919,364663,392745,118391,165299,318,250453
borD,8699.73,11595.4,16987.3,3108.69,2513.5,1139.34,4471.87,971073,1861.01,294,5705.32
brnQ,69219,79.1243,58.1998,69.7325,77006,70.9798,70.0412,83308,79.0298,1320,72.9601
